Sample Name,Cell type,Label
human1_lib1.final_cell_0001,acinar,0
human1_lib1.final_cell_0002,acinar,0
human1_lib1.final_cell_0003,acinar,0
human1_lib1.final_cell_0004,acinar,0
human1_lib1.final_cell_0005,acinar,0
human1_lib1.final_cell_0006,acinar,0
human1_lib1.final_cell_0007,beta,3
human1_lib1.final_cell_0008,acinar,0
human1_lib1.final_cell_0009,acinar,0
human1_lib1.final_cell_0010,acinar,0
human1_lib1.final_cell_0011,acinar,0
human1_lib1.final_cell_0012,acinar,0
human1_lib1.final_cell_0013,delta,4
human1_lib1.final_cell_0014,delta,4
human1_lib1.final_cell_0015,beta,3
human1_lib1.final_cell_0016,activated_stellate,1
human1_lib1.final_cell_0017,beta,3
human1_lib1.final_cell_0018,acinar,0
human1_lib1.final_cell_0019,ductal,5
human1_lib1.final_cell_0020,beta,3
human1_lib1.final_cell_0021,beta,3
human1_lib1.final_cell_0022,alpha,2
human1_lib1.final_cell_0023,ductal,5
human1_lib1.final_cell_0024,beta,3
human1_lib1.final_cell_0025,delta,4
human1_lib1.final_cell_0026,alpha,2
human1_lib1.final_cell_0027,beta,3
human1_lib1.final_cell_0028,acinar,0
human1_lib1.final_cell_0029,acinar,0
human1_lib1.final_cell_0030,beta,3
human1_lib1.final_cell_0031,delta,4
human1_lib1.final_cell_0032,delta,4
human1_lib1.final_cell_0033,delta,4
human1_lib1.final_cell_0034,delta,4
human1_lib1.final_cell_0035,beta,3
human1_lib1.final_cell_0036,acinar,0
human1_lib1.final_cell_0037,beta,3
human1_lib1.final_cell_0038,beta,3
human1_lib1.final_cell_0039,beta,3
human1_lib1.final_cell_0040,delta,4
human1_lib1.final_cell_0041,activated_stellate,1
human1_lib1.final_cell_0042,beta,3
human1_lib1.final_cell_0043,delta,4
human1_lib1.final_cell_0044,activated_stellate,1
human1_lib1.final_cell_0045,activated_stellate,1
human1_lib1.final_cell_0046,activated_stellate,1
human1_lib1.final_cell_0047,acinar,0
human1_lib1.final_cell_0048,activated_stellate,1
human1_lib1.final_cell_0049,delta,4
human1_lib1.final_cell_0050,beta,3
human1_lib1.final_cell_0051,delta,4
human1_lib1.final_cell_0052,beta,3
human1_lib1.final_cell_0053,acinar,0
human1_lib1.final_cell_0054,beta,3
human1_lib1.final_cell_0055,beta,3
human1_lib1.final_cell_0056,activated_stellate,1
human1_lib1.final_cell_0057,beta,3
human1_lib1.final_cell_0058,beta,3
human1_lib1.final_cell_0059,beta,3
human1_lib1.final_cell_0060,beta,3
human1_lib1.final_cell_0061,ductal,5
human1_lib1.final_cell_0062,alpha,2
human1_lib1.final_cell_0063,beta,3
human1_lib1.final_cell_0064,ductal,5
